Application mode;Course;Tuition fees up to date;Age at enrollment;Curricular units 1st sem (enrolled);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Output
1;12;1;19;8;6;1,18333E+16;8;6;1,18333E+16;Enrolled
1;15;1;20;6;4;14.0;6;3;11.0;Enrolled
1;8;1;19;5;5;1,47143E+16;5;5;45884;Graduate
12;17;1;27;5;5;45818;5;5;11.0;Dropout
1;12;1;18;7;7;1,30444E+16;8;8;13595;Graduate
4;11;1;39;6;0;0.0;6;0;0.0;Dropout
12;8;1;27;6;5;13.0;11;10;45912;Dropout
8;12;1;18;8;8;14935;8;8;14935;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Enrolled
1;12;1;18;7;6;1,31333E+16;8;7;1,22214E+16;Graduate
15;10;1;21;6;6;12.0;6;6;12.0;Graduate
8;2;1;19;0;0;0.0;0;0;0.0;Enrolled
8;5;1;19;6;5;45758;6;1;10.0;Enrolled
14;5;1;24;6;0;0.0;6;0;0.0;Enrolled
13;12;1;29;7;5;45911;8;5;11.0;Dropout
1;2;1;19;0;0;0.0;0;0;0.0;Graduate
15;4;1;23;6;6;1,25714E+16;6;6;1,24286E+16;Graduate
1;9;1;19;5;5;45699;5;4;27668;Dropout
12;11;1;26;6;6;12.0;6;5;45879;Enrolled
8;9;1;18;5;0;0.0;5;0;0.0;Enrolled
8;12;1;24;7;7;11975;8;8;13.75;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Dropout
8;11;1;18;6;3;1,16667E+16;6;1;12.0;Dropout
1;15;1;18;6;6;1,23333E+16;6;3;1,23333E+16;Graduate
8;9;1;18;5;3;1,03333E+16;5;3;1,08571E+16;Dropout
9;11;1;21;6;4;45787;6;1;11.0;Dropout
8;15;1;19;6;6;1,36667E+16;6;6;1,33333E+16;Graduate
8;12;1;22;7;7;1,48429E+16;8;8;1,50556E+16;Graduate
12;3;1;33;6;6;12.0;6;6;1,16667E+16;Graduate
1;16;1;20;6;5;45700;6;5;45700;Dropout
12;17;1;35;1;0;0.0;5;0;0.0;Dropout
12;4;1;24;12;6;1,21667E+16;12;10;45729;Dropout
8;11;1;18;5;5;12.0;5;3;1,13333E+16;Enrolled
12;3;1;33;6;6;11.0;6;5;11.0;Graduate
13;12;1;22;8;7;45882;8;7;45882;Graduate
12;14;1;25;5;4;45787;5;5;45819;Graduate
8;5;1;20;6;6;1,06667E+16;6;5;45699;Graduate
1;9;1;23;5;4;14.0;5;5;45882;Enrolled
14;7;1;18;5;2;10.0;5;0;0.0;Enrolled
12;12;1;24;7;0;0.0;7;0;0.0;Dropout
8;15;0;21;6;6;14.0;6;6;45790;Graduate
6;8;1;26;6;2;12.0;6;0;0.0;Dropout
12;16;1;39;6;3;1,26667E+16;6;0;0.0;Dropout
12;3;1;44;8;8;11875;6;6;1,23333E+16;Graduate
6;7;1;19;5;5;14.0;5;3;13.25;Enrolled
1;15;1;18;6;6;1,36667E+16;6;6;1,33333E+16;Graduate
1;12;1;18;7;7;13.75;8;8;1,44778E+15;Graduate
1;6;1;19;5;5;45702;5;5;45882;Enrolled
1;12;0;19;7;4;35370;7;0;0.0;Dropout
17;6;1;21;10;8;12875;9;5;45760;Dropout
1;2;1;20;0;0;0.0;0;0;0.0;Graduate
12;3;1;36;6;0;0.0;6;0;0.0;Dropout
12;4;1;43;18;18;1,46316E+15;13;13;1,42308E+15;Graduate
9;16;1;19;6;0;0.0;6;0;0.0;Dropout
16;5;1;20;10;10;13.0;11;11;1,22727E+16;Graduate
1;10;1;19;6;0;0.0;6;0;0.0;Dropout
1;6;1;20;6;4;45702;6;4;13.25;Dropout
1;12;1;20;7;6;1,32667E+16;7;5;45728;Dropout
8;16;1;20;7;6;1,16667E+16;7;3;13.0;Enrolled
1;10;1;18;6;6;1,38571E+16;6;6;15.0;Graduate
8;9;1;18;5;3;13.0;5;3;11.0;Enrolled
1;6;1;19;5;5;45760;5;5;45881;Graduate
1;15;1;18;6;6;1,26667E+16;6;6;1,25714E+16;Graduate
8;12;1;18;7;6;1,25167E+16;7;6;1,25167E+16;Dropout
14;12;1;20;7;6;1,16167E+16;7;7;13.0;Enrolled
8;10;1;20;6;2;10.0;6;4;27668;Enrolled
8;9;1;20;5;3;1,03333E+16;5;3;1,06667E+16;Enrolled
1;6;1;18;5;5;1,31429E+16;5;5;45758;Graduate
1;9;1;18;5;5;45820;5;5;14.0;Graduate
8;11;1;21;6;3;11.0;6;2;11.0;Dropout
1;9;1;19;5;5;45879;5;4;45962;Graduate
1;2;1;19;0;0;0.0;0;0;0.0;Dropout
1;14;1;19;5;5;45881;5;5;45702;Graduate
1;6;1;19;6;6;1,41667E+16;6;6;45700;Graduate
8;13;1;19;7;5;45669;7;0;0.0;Dropout
15;6;1;20;6;6;1,41667E+16;6;5;1,37778E+15;Graduate
1;16;1;18;6;5;45881;6;5;45760;Enrolled
8;10;1;18;6;6;13.0;6;6;1,36667E+16;Graduate
8;12;1;19;7;7;1,34671E+16;8;8;1,50111E+16;Graduate
1;12;1;18;7;7;132375;8;7;1,37429E+16;Dropout
8;5;1;18;6;6;1,23333E+16;6;6;13.0;Graduate
1;9;1;19;5;5;45759;5;5;45822;Graduate
8;12;1;19;7;5;14.0;7;0;0.0;Dropout
14;10;1;20;9;9;1,16667E+16;7;7;1,17143E+16;Graduate
1;14;0;19;6;5;12.0;6;4;45789;Dropout
8;14;1;20;5;4;45700;5;4;45788;Graduate
1;15;1;18;6;6;1,48333E+16;6;6;1,48333E+16;Graduate
1;12;1;20;7;5;13188;8;7;1,28929E+16;Enrolled
9;12;1;18;7;7;17125;8;8;175875;Graduate
1;12;1;19;7;6;1,26667E+16;7;6;1,26667E+16;Graduate
1;15;1;19;6;6;1,26667E+16;6;5;12.0;Graduate
16;9;0;22;5;0;0.0;5;0;0.0;Enrolled
1;10;1;19;6;6;1,13333E+16;6;6;45788;Graduate
1;12;1;19;7;7;13605;8;8;1233125;Graduate
8;16;1;19;6;5;12.0;6;5;45879;Graduate
1;11;1;19;5;0;0.0;5;0;0.0;Dropout
8;11;1;20;6;5;45699;6;3;1,16667E+16;Dropout
1;9;1;18;5;5;13375;5;5;1,41667E+16;Graduate
1;12;1;20;7;6;1,38633E+16;8;7;1,41786E+16;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Enrolled
1;6;1;19;5;5;45759;5;5;45760;Graduate
8;16;1;18;6;3;1,23333E+16;6;5;1,08333E+16;Enrolled
1;16;1;18;6;6;1,33333E+16;6;5;45880;Graduate
14;16;1;21;6;3;1,26667E+16;6;3;10.0;Dropout
1;16;1;19;6;6;12.0;6;4;45788;Dropout
1;9;1;18;5;5;45818;5;5;45880;Graduate
8;10;1;18;6;6;45992;6;6;1,18571E+16;Graduate
1;10;1;20;6;4;11.0;6;6;1,18333E+16;Graduate
12;3;1;24;6;5;11.0;6;5;45820;Graduate
1;14;1;19;6;6;1,31667E+16;6;6;13.0;Dropout
1;12;1;18;7;7;1,28556E+16;8;7;1,27611E+16;Graduate
1;12;1;18;7;7;1491875;8;8;15355;Graduate
8;16;1;21;6;4;45788;6;3;11.0;Dropout
8;14;1;19;5;5;45702;5;5;45702;Graduate
8;15;1;19;6;6;45789;6;6;13.0;Graduate
12;4;1;47;1;0;0.0;6;0;0.0;Enrolled
8;10;1;19;6;5;1,16667E+16;6;4;11.0;Graduate
12;12;1;29;8;7;1,42571E+16;8;7;1,42571E+16;Graduate
14;10;1;21;6;3;12.0;6;2;1,13333E+16;Dropout
12;6;1;28;5;4;45962;5;4;45787;Enrolled
8;13;1;20;7;7;1,24571E+16;8;8;135625;Graduate
8;12;1;19;7;6;1,16833E+16;7;6;1,16833E+16;Graduate
13;3;1;26;6;3;1,16667E+16;6;5;12.0;Graduate
8;11;0;20;6;4;27699;6;6;1,31667E+16;Dropout
1;14;1;18;5;3;1,16667E+16;5;4;45790;Enrolled
12;16;1;27;6;5;45701;6;5;12.0;Graduate
1;12;1;20;7;4;35004;7;4;35004;Dropout
1;16;1;18;6;5;45759;6;5;45757;Dropout
4;12;1;33;7;6;14.35;8;6;1,45833E+16;Dropout
14;16;1;35;21;21;1,2619E+15;19;19;1,27895E+16;Graduate
15;17;1;26;6;6;1,26667E+16;6;6;1,31667E+16;Enrolled
12;15;0;27;6;5;12.0;6;0;0.0;Dropout
9;5;0;19;6;6;1,21667E+16;6;0;0.0;Dropout
8;11;1;20;6;0;0.0;6;0;0.0;Dropout
9;9;0;20;5;3;10.0;5;3;1,05714E+16;Dropout
14;10;0;21;10;8;45788;6;4;10.0;Enrolled
8;12;1;18;7;6;45790;7;6;45790;Graduate
12;6;1;24;6;2;11.0;6;0;0.0;Dropout
8;5;1;20;6;6;45788;6;6;12.0;Graduate
1;11;1;21;6;6;12.0;6;6;45789;Graduate
1;3;1;23;6;2;10.0;5;1;10.0;Enrolled
12;9;1;24;5;0;0.0;5;0;0.0;Dropout
16;16;1;21;6;0;0.0;6;0;0.0;Dropout
1;12;1;18;8;7;1,22429E+16;8;7;1,22429E+16;Graduate
12;17;1;27;5;0;0.0;5;0;0.0;Dropout
9;12;1;18;8;8;1293375;8;8;1293375;Graduate
4;7;1;35;5;0;0.0;5;0;0.0;Dropout
1;16;1;18;7;7;1,25714E+16;7;7;1,44286E+16;Graduate
12;12;1;35;3;3;1,18167E+16;3;3;1,13333E+16;Enrolled
1;6;1;19;5;4;13.75;5;4;1,43333E+16;Graduate
1;10;1;20;6;6;1,11667E+16;6;6;1,13333E+16;Graduate
1;12;1;18;8;7;1,23243E+16;8;7;1,23243E+16;Graduate
15;10;1;21;6;6;1,21667E+16;6;6;1,17143E+16;Graduate
8;10;1;18;6;5;1,11429E+16;6;4;45962;Graduate
1;10;1;18;6;4;11.0;6;4;27668;Graduate
1;12;1;18;8;7;1,29143E+16;8;7;1,29143E+16;Graduate
1;15;1;18;6;6;1,38333E+16;6;6;1,41667E+16;Graduate
1;6;1;19;6;6;1,38571E+16;6;5;45760;Graduate
12;11;1;36;6;6;1,37143E+16;6;5;45881;Dropout
1;12;1;18;8;7;1,26429E+16;8;7;1,26429E+16;Graduate
1;12;1;18;7;6;1,29167E+16;7;6;1,29167E+16;Graduate
14;8;1;20;6;6;15625;6;6;1,58571E+16;Graduate
12;17;1;26;5;0;0.0;5;0;0.0;Dropout
14;15;1;21;6;6;1,17143E+16;6;6;12.0;Graduate
12;13;1;25;7;6;12125;8;8;133125;Enrolled
9;9;1;19;5;5;45819;5;5;45819;Graduate
12;3;1;24;6;1;10.0;6;0;0.0;Dropout
12;3;1;27;6;1;10.0;6;0;0.0;Dropout
8;6;1;21;5;0;0.0;5;2;45790;Dropout
1;9;1;18;5;4;13.0;5;3;1,23333E+16;Graduate
1;16;1;19;6;6;1,33333E+16;6;6;45791;Graduate
1;11;1;18;6;4;45962;6;2;45789;Dropout
16;12;1;19;7;5;13.85;8;7;1,21929E+15;Graduate
9;12;1;19;7;6;1,37417E+16;8;7;149125;Graduate
4;17;1;33;6;6;1,53333E+16;5;5;45884;Graduate
4;9;1;45;5;5;11.0;5;5;45882;Graduate
1;10;1;20;6;6;12.0;6;6;1,28571E+16;Graduate
12;14;1;28;5;0;0.0;5;0;0.0;Dropout
14;12;1;19;8;7;1,15714E+16;8;7;1,15714E+16;Graduate
1;11;1;18;6;6;1,28571E+16;6;3;1,26667E+16;Graduate
12;11;1;38;6;0;0.0;6;0;0.0;Dropout
1;14;1;19;5;5;13.0;5;5;45701;Graduate
1;11;1;21;6;5;11.0;6;5;12.0;Graduate
1;9;1;21;5;3;12.0;5;1;15.0;Dropout
1;10;1;22;6;5;45820;6;6;13.0;Graduate
1;16;1;18;6;5;45760;6;6;1,31667E+16;Graduate
8;10;1;18;6;6;1,13333E+16;6;6;1,15714E+16;Graduate
1;8;0;25;5;4;45790;5;4;14.25;Dropout
12;6;0;24;6;3;27699;6;3;1,03333E+16;Dropout
1;12;1;19;7;6;1,24714E+16;7;7;114625;Enrolled
7;2;1;24;17;11;1,29091E+16;13;9;1,35556E+16;Enrolled
1;9;1;20;5;5;45819;5;5;45821;Graduate
12;9;0;25;5;0;0.0;5;0;0.0;Dropout
1;9;1;20;10;9;45912;10;10;1,23636E+16;Graduate
4;12;1;23;8;8;13.22;8;8;13.22;Graduate
8;12;1;19;8;7;1,31514E+16;8;7;1,31514E+16;Graduate
15;4;0;29;6;3;27729;6;3;1,13333E+16;Dropout
1;11;1;21;6;6;1,13333E+16;6;4;45992;Graduate
1;14;1;18;6;6;13.25;6;5;1,41429E+16;Graduate
1;5;1;19;6;5;45759;6;5;45759;Enrolled
1;15;1;18;6;6;15.0;6;6;1,28333E+16;Dropout
1;6;1;19;5;5;45761;5;5;13.0;Graduate
1;15;1;18;6;1;11.0;6;0;0.0;Enrolled
8;9;1;18;5;5;45759;5;5;45879;Graduate
12;13;0;37;7;1;16.0;7;0;0.0;Dropout
8;17;1;29;5;5;1,35714E+16;5;5;1,23333E+16;Graduate
8;5;1;18;6;6;1,18333E+16;6;6;45789;Enrolled
1;10;1;19;6;5;1,16667E+16;6;5;1,26667E+16;Graduate
14;10;0;22;10;6;1,18333E+16;7;2;13.0;Dropout
1;11;1;20;6;6;1,11667E+16;6;5;45818;Graduate
12;3;1;34;6;0;0.0;6;0;0.0;Dropout
14;7;0;30;12;8;27699;12;6;1,21667E+16;Dropout
1;10;1;18;6;6;14.0;6;6;14.0;Graduate
1;10;1;18;6;6;1,28333E+16;6;6;12.0;Graduate
1;15;1;18;6;4;45992;6;3;1,16667E+16;Graduate
8;12;1;18;8;7;1,48286E+16;8;7;1,48286E+16;Graduate
1;15;1;19;6;5;45758;6;5;45881;Graduate
1;5;1;19;6;6;13.0;6;6;45789;Graduate
1;12;1;18;8;7;1,36714E+16;8;7;1,36714E+16;Graduate
15;4;1;21;6;6;1,26667E+16;6;5;45881;Graduate
1;9;0;20;5;2;10.0;5;1;13.0;Dropout
8;9;1;20;5;5;45790;5;5;1,23333E+16;Graduate
1;12;1;19;7;7;24807;8;8;13.55;Graduate
1;10;1;20;6;6;45791;6;6;1,54286E+16;Graduate
8;12;1;18;7;7;1,36857E+16;8;8;153875;Graduate
13;16;1;20;6;5;11.0;6;3;1,06667E+16;Dropout
4;8;0;29;9;7;1,15556E+16;7;5;45701;Dropout
1;12;1;18;7;7;1,37971E+15;8;8;13775;Enrolled
1;12;1;20;7;7;1400375;8;7;1,38129E+16;Graduate
7;9;1;22;5;4;12.0;5;4;45758;Graduate
1;3;1;47;6;5;1,41667E+16;6;6;1,41667E+16;Graduate
16;17;1;31;5;5;14.0;5;5;45882;Graduate
1;5;1;21;6;5;45882;6;6;1,28333E+16;Graduate
1;3;1;21;6;5;45881;6;6;1,18571E+16;Graduate
12;15;1;24;6;6;1,21667E+16;6;6;1,38333E+16;Graduate
8;5;1;18;6;6;45789;6;6;1,23333E+16;Enrolled
12;3;1;32;6;4;12.0;6;4;45788;Graduate
9;3;1;19;6;6;1,08333E+16;6;6;45788;Graduate
12;12;1;24;8;8;13385;8;8;13385;Graduate
8;6;1;19;6;6;1,56667E+16;6;6;45791;Graduate
15;4;1;19;6;6;1,43333E+16;6;6;1,38333E+16;Graduate
15;4;1;24;6;6;1,14286E+16;6;5;13.0;Enrolled
8;10;1;18;6;6;1,16667E+16;6;6;1,16667E+16;Graduate
1;5;1;19;6;5;12.0;6;2;1,13333E+16;Dropout
1;12;1;19;8;7;1,47257E+16;8;7;1,47257E+16;Graduate
8;15;1;18;6;6;1,41667E+16;6;6;1,36667E+16;Graduate
1;10;1;18;6;6;1,15714E+16;6;6;1,23333E+16;Graduate
8;13;1;20;7;7;45789;8;8;131375;Graduate
1;12;1;18;8;8;31747;8;8;31747;Graduate
8;14;1;18;6;6;45992;6;6;1,37143E+16;Graduate
1;6;1;21;5;4;12.0;5;5;45700;Graduate
1;12;1;18;7;7;1,51167E+16;8;8;1,61689E+16;Graduate
16;14;0;18;5;2;45789;5;4;45931;Dropout
8;10;1;19;6;0;0.0;6;0;0.0;Dropout
1;14;1;19;6;4;11.0;6;4;11.0;Enrolled
8;14;1;18;6;6;11875;6;4;45822;Graduate
12;8;1;34;5;1;11.0;5;0;0.0;Dropout
1;6;1;19;5;5;45703;5;5;45701;Graduate
15;8;0;19;6;5;45819;6;2;11.0;Dropout
16;10;1;26;6;6;1,48333E+16;6;6;1,51429E+16;Graduate
8;16;1;21;6;3;1,13333E+16;6;3;1,13333E+16;Dropout
8;9;1;18;5;5;45699;5;5;45880;Graduate
8;16;1;20;6;5;45760;6;5;1,36667E+16;Graduate
16;9;1;25;5;2;45787;5;0;0.0;Dropout
1;9;1;18;5;5;45704;5;5;45763;Graduate
1;12;1;18;7;7;1,45429E+16;8;8;1,48818E+15;Graduate
1;12;1;19;7;7;1,36943E+16;8;8;1,43556E+16;Graduate
1;10;1;18;6;6;1,12857E+16;6;6;1,18571E+16;Graduate
8;12;1;20;7;6;1,17571E+16;8;6;1,30833E+16;Enrolled
4;6;0;26;3;0;0.0;6;0;0.0;Dropout
13;12;1;19;8;7;1,30586E+16;8;7;1,30586E+16;Graduate
1;12;1;19;7;7;45730;8;8;1,40556E+16;Graduate
14;9;1;19;10;5;45880;10;8;12.0;Graduate
3;6;1;19;5;3;1,03333E+16;5;3;13.0;Enrolled
1;11;1;18;6;6;1,05714E+16;6;3;1,16667E+16;Graduate
14;12;1;19;7;6;1,33333E+16;7;6;1,33333E+16;Graduate
1;10;1;18;6;6;1,18571E+16;6;5;11.0;Graduate
1;16;1;18;6;5;45820;6;5;45758;Enrolled
1;6;1;18;5;5;14.0;5;5;45819;Enrolled
1;16;1;18;7;5;12.0;7;6;1,26667E+16;Enrolled
15;7;1;26;5;0;0.0;5;0;0.0;Dropout
1;10;1;20;6;6;12.0;6;6;13.0;Graduate
1;3;1;19;6;6;1,26667E+16;6;6;1,16667E+16;Graduate
1;10;1;18;6;6;1,21667E+16;6;6;1,36667E+16;Graduate
15;10;1;19;6;6;1,33333E+16;6;6;1,46667E+16;Graduate
4;16;1;40;7;7;15.0;7;7;1,45714E+16;Graduate
1;12;1;18;8;8;1339125;8;8;1339125;Graduate
8;10;1;19;6;5;1,21667E+16;6;6;1,24286E+16;Graduate
8;8;1;18;5;4;45962;5;4;45789;Graduate
1;6;1;19;5;4;12.0;5;3;12.0;Enrolled
1;2;1;18;0;0;0.0;0;0;0.0;Dropout
12;3;1;33;6;6;1,28333E+16;6;6;1,28571E+16;Graduate
12;4;1;35;6;6;14.0;6;6;45670;Graduate
13;9;1;26;5;4;13.0;5;2;12.0;Enrolled
1;15;1;18;6;6;45790;6;6;45789;Graduate
14;10;1;36;16;13;1,06923E+16;13;9;1,23077E+16;Enrolled
12;17;1;39;5;5;11.0;5;5;1,16667E+16;Graduate
12;10;1;44;6;6;13.0;6;6;1,38333E+16;Graduate
1;3;1;20;6;5;12.0;6;4;45962;Enrolled
1;11;1;24;6;4;45820;6;4;45788;Dropout
14;15;1;20;6;6;1,36667E+16;6;6;1,33333E+16;Graduate
1;2;0;19;0;0;0.0;0;0;0.0;Dropout
1;12;1;18;7;6;45702;7;6;45702;Graduate
1;11;0;22;6;5;11.0;6;0;0.0;Dropout
8;6;1;18;6;6;15.0;6;6;1,64286E+16;Graduate
12;12;1;24;7;6;1,25857E+16;8;7;1,34429E+15;Graduate
12;17;1;33;5;0;0.0;5;0;0.0;Dropout
12;4;1;30;6;0;0.0;6;0;0.0;Enrolled
12;6;1;26;6;0;0.0;6;0;0.0;Dropout
8;16;1;18;6;6;1,16667E+16;6;6;1,18333E+16;Graduate
1;15;1;19;6;3;1,26667E+16;6;2;10.0;Dropout
8;9;1;20;5;3;1,03333E+16;5;4;11.0;Enrolled
17;6;1;22;11;8;45790;9;7;1,37143E+16;Graduate
1;12;1;19;7;5;13.98;7;5;13.98;Enrolled
1;6;1;21;6;6;1,61538E+16;6;6;15.75;Graduate
1;12;1;21;7;6;1,40333E+16;7;6;1,40333E+16;Graduate
8;6;1;19;5;1;11.0;5;5;45699;Enrolled
1;16;1;19;7;7;1,38571E+16;7;6;1,36667E+16;Graduate
1;12;1;18;8;7;1,34143E+16;8;7;1,34143E+16;Dropout
14;3;1;50;11;11;1,35455E+16;7;7;1,35714E+16;Graduate
12;17;1;31;5;4;45962;5;4;1,08333E+16;Enrolled
8;15;1;19;6;6;1,38333E+16;6;6;1,44286E+16;Graduate
12;17;1;35;5;5;12.0;5;5;1,28571E+16;Graduate
12;6;1;31;6;0;0.0;6;0;0.0;Dropout
16;3;1;42;11;10;45911;11;10;45881;Enrolled
9;9;0;34;5;0;0.0;5;0;0.0;Dropout
1;12;1;18;7;7;1,51357E+16;8;8;1,52875E+16;Graduate
8;16;0;18;7;7;1,22857E+16;7;6;1,33333E+16;Enrolled
15;6;1;21;6;5;1,26667E+16;6;2;45790;Enrolled
12;12;1;26;7;5;27364;8;6;1,09786E+16;Dropout
14;12;1;20;7;6;13.25;8;8;13.75;Enrolled
1;10;1;19;6;3;1,03333E+16;6;3;1,03333E+16;Enrolled
1;16;1;19;6;6;1,34286E+16;6;6;1,31667E+16;Graduate
17;9;1;20;11;9;1,25556E+16;9;8;1,11111E+15;Graduate
1;10;1;19;6;6;45788;6;6;1,11667E+16;Graduate
1;16;1;18;6;6;1,36667E+16;6;6;1,23333E+16;Graduate
12;17;1;28;14;11;1,12727E+16;11;10;12.0;Graduate
8;16;1;22;6;5;1,31667E+16;6;5;45759;Enrolled
15;3;1;21;6;6;1,46667E+16;6;6;1,41667E+16;Graduate
15;6;1;21;6;4;27729;6;1;11.0;Enrolled
12;12;1;26;7;5;45699;8;5;41974;Enrolled
1;15;0;18;6;5;13.0;6;5;45758;Dropout
8;6;0;20;5;2;45787;5;2;1,23333E+16;Dropout
8;6;1;18;6;6;1,48571E+16;6;6;14.0;Graduate
1;12;1;19;8;7;31747;8;7;31747;Graduate
16;10;1;20;11;11;1,17273E+16;11;11;12.0;Graduate
15;6;1;22;6;6;1,31429E+16;6;3;12.0;Graduate
8;14;1;18;6;5;45880;6;4;1,37143E+16;Dropout
8;9;1;19;5;3;1,06667E+16;5;0;0.0;Dropout
8;5;1;18;6;5;45819;6;4;45699;Enrolled
8;11;1;20;6;3;1,03333E+16;6;3;1,03333E+16;Enrolled
1;15;1;19;6;4;45992;6;3;11.0;Enrolled
1;11;1;19;6;6;12.0;6;4;27729;Enrolled
8;12;1;19;8;7;1,47314E+16;8;7;1,47314E+16;Graduate
1;2;1;18;0;0;0.0;0;0;0.0;Graduate
4;5;1;21;13;13;1,36154E+16;12;12;14.25;Graduate
12;17;1;27;5;5;45884;5;5;45883;Graduate
8;10;1;19;6;6;1,46667E+16;6;6;1,45714E+16;Graduate
12;6;1;25;5;0;0.0;5;0;0.0;Dropout
1;12;1;18;8;7;1,46543E+16;8;7;1,46543E+16;Graduate
12;12;1;24;8;7;1,24014E+16;8;7;1,24014E+16;Graduate
1;12;1;20;7;7;115875;8;7;1,40714E+16;Graduate
4;17;1;26;5;5;14.0;5;5;45823;Graduate
1;10;1;20;6;6;1,23333E+16;6;6;1,18333E+16;Graduate
1;6;1;18;5;5;14.0;5;5;45762;Graduate
1;6;1;19;6;6;1,52308E+15;6;6;12375;Graduate
1;16;1;23;6;5;45819;6;3;11.0;Dropout
1;12;1;18;7;6;45819;7;6;45819;Graduate
1;12;1;18;7;0;0.0;8;0;0.0;Dropout
1;12;1;19;7;7;1,29014E+16;8;8;1,30944E+16;Graduate
13;17;1;30;7;7;1,41429E+16;5;5;45883;Graduate
15;6;1;29;6;0;0.0;6;0;0.0;Dropout
1;12;1;19;8;8;1325375;8;8;1325375;Graduate
8;13;1;20;7;7;1,37857E+16;8;8;45671;Graduate
1;12;1;20;7;6;1,39167E+16;7;6;1,39167E+16;Graduate
1;14;1;19;6;6;45790;6;6;1,35714E+16;Graduate
8;9;1;20;5;3;1,13333E+16;5;2;1,06667E+16;Enrolled
1;6;1;21;5;0;0.0;5;0;0.0;Dropout
8;14;1;19;6;5;45788;6;4;45822;Graduate
1;12;1;18;8;7;1,20829E+16;8;7;1,20829E+16;Graduate
12;3;1;27;6;6;1,18333E+16;6;5;45881;Graduate
8;9;1;19;5;5;45760;5;5;45759;Graduate
1;12;1;19;7;0;0.0;7;0;0.0;Dropout
